trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","20","0006","6 | Saint-Jacques Morinais","0","1012124"
"21612","16","0078","78 | Saint-Grégoire Betton Centre","1","1052018"
"21613","18","0078","78 | Saint-Grégoire Betton Centre","1","1052699"
"21614","6","0003","3 | Henri Fréville","0","1050816"
"21615","7","0003","3 | Henri Fréville","0","1054250"
"21616","6","0003","3 | Henri Fréville","0","1050818"
"21617","7","0003","3 | Henri Fréville","0","1054252"
"21618","6","0003","3 | Henri Fréville","0","1050816"
"21619","7","0003","3 | Henri Fréville","0","1054250"
"2162","21","0032","32 | Triangle","0","1004517"
"21620","6","0003","3 | Henri Fréville","0","1050816"
"21621","7","0003","3 | Henri Fréville","0","1054250"
"21622","6","0003","3 | Henri Fréville","0","1050812"
"21623","7","0003","3 | Henri Fréville","0","1054246"
"21624","6","0003","3 | Henri Fréville","0","1050817"
"21625","7","0003","3 | Henri Fréville","0","1054251"
"21626","6","0003","3 | Henri Fréville","0","1050809"
"21627","7","0003","3 | Henri Fréville","0","1054243"
"21628","6","0003","3 | Henri Fréville","0","1050814"
"21629","7","0003","3 | Henri Fréville","0","1054248"
"2163","22","0032","32 | Triangle","0","1012146"
"21630","6","0003","3 | Henri Fréville","0","1050811"
"21631","7","0003","3 | Henri Fréville","0","1054245"
"21632","6","0003","3 | Henri Fréville","0","1050813"
"21633","7","0003","3 | Henri Fréville","0","1054247"
"21634","6","0003","3 | Saint-Laurent","1","1050818"
"21635","7","0003","3 | Saint-Laurent","1","1054252"
"21636","6","0003","3 | Saint-Laurent","1","1050816"
"21637","7","0003","3 | Saint-Laurent","1","1054250"
"21638","6","0003","3 | Saint-Laurent","1","1050816"
"21639","7","0003","3 | Saint-Laurent","1","1054250"
"2164","23","0032","32 | Triangle","0","1012656"
"21640","6","0003","3 | Saint-Laurent","1","1050816"
"21641","7","0003","3 | Saint-Laurent","1","1054250"
"21642","6","0003","3 | Saint-Laurent","1","1050812"
"21643","7","0003","3 | Saint-Laurent","1","1054246"
"21644","6","0003","3 | Saint-Laurent","1","1050817"
"21645","7","0003","3 | Saint-Laurent","1","1054251"
"21646","6","0003","3 | Saint-Laurent","1","1050815"
"21647","7","0003","3 | Saint-Laurent","1","1054249"
"21648","6","0003","3 | Saint-Laurent","1","1050814"
"21649","7","0003","3 | Saint-Laurent","1","1054248"
"2165","25","0032","32 | Triangle","0","1054010"
"21650","6","0003","3 | Saint-Laurent","1","1050811"
"21651","7","0003","3 | Saint-Laurent","1","1054245"
"21652","6","0003","3 | Saint-Laurent","1","1050813"
"21653","7","0003","3 | Saint-Laurent","1","1054247"
"21654","6","0003","3 | Saint-Laurent","1","1050816"
"21655","7","0003","3 | Saint-Laurent","1","1054250"
"21656","6","0003","3 | Saint-Laurent","1","1050815"
"21657","7","0003","3 | Saint-Laurent","1","1054249"
"21658","6","0003","3 | Saint-Laurent","1","1050815"
"21659","7","0003","3 | Saint-Laurent","1","1054249"
"2166","27","0032","32 | Triangle","0","1045912"
"21660","6","0003","3 | Saint-Laurent","1","1050815"
"21661","7","0003","3 | Saint-Laurent","1","1054249"
"21662","6","0003","3 | Saint-Laurent","1","1050814"
"21663","7","0003","3 | Saint-Laurent","1","1054248"
"21664","6","0003","3 | Saint-Laurent","1","1050811"
"21665","7","0003","3 | Saint-Laurent","1","1054245"
"21666","6","0003","3 | Saint-Laurent","1","1050813"
"21667","7","0003","3 | Saint-Laurent","1","1054247"
"21668","6","0003","3 | Saint-Laurent","1","1050818"
"21669","7","0003","3 | Saint-Laurent","1","1054252"
"2167","20","0032","32 | Triangle","0","1011901"
"21670","6","0003","3 | Saint-Laurent","1","1050816"
"21671","7","0003","3 | Saint-Laurent","1","1054250"
"21672","6","0003","3 | Saint-Laurent","1","1050812"
"21673","7","0003","3 | Saint-Laurent","1","1054246"
"21674","6","0003","3 | Saint-Laurent","1","1050810"
"21675","7","0003","3 | Saint-Laurent","1","1054244"
"21676","6","0003","3 | Saint-Laurent","1","1050820"
"21677","7","0003","3 | Saint-Laurent","1","1054254"
"21678","6","0003","3 | Henri Fréville","0","1050815"
"21679","7","0003","3 | Henri Fréville","0","1054249"
"2168","21","0032","32 | Triangle","0","1004484"
"21680","6","0003","3 | Henri Fréville","0","1050817"
"21681","7","0003","3 | Henri Fréville","0","1054251"
"21682","6","0003","3 | Henri Fréville","0","1050815"
"21683","7","0003","3 | Henri Fréville","0","1054249"
"21684","6","0003","3 | Henri Fréville","0","1050814"
"21685","7","0003","3 | Henri Fréville","0","1054248"
"21686","6","0003","3 | Henri Fréville","0","1050811"
"21687","7","0003","3 | Henri Fréville","0","1054245"
"21688","6","0003","3 | Henri Fréville","0","1050813"
"21689","7","0003","3 | Henri Fréville","0","1054247"
"2169","22","0032","32 | Triangle","0","1012135"
"21690","6","0003","3 | Henri Fréville","0","1050818"
"21691","7","0003","3 | Henri Fréville","0","1054252"
"21692","6","0003","3 | Henri Fréville","0","1050816"
"21693","7","0003","3 | Henri Fréville","0","1054250"
"21694","6","0003","3 | Henri Fréville","0","1050812"
"21695","7","0003","3 | Henri Fréville","0","1054246"
